id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
27996,Mister Deeds - Milijonar dobrotnik,115,1936,7.9,,19435,,,A simple small-town man inherits a massive fortune and is immediately hounded by those who wish to take advantage of him.
28010,My Man Godfrey,94,1936,8.0,82,20680,,,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.
28096,The Petrified Forest,82,1936,7.5,,12283,,,"A waitress, a hobo and a bank robber get mixed up at a lonely diner in the desert."
28212,Sabotage,76,1936,7.1,85,14667,,,"A Scotland Yard undercover detective is on the trail of a saboteur who is part of a plot to set off a bomb in London. But when the detective's cover is blown, the plot begins to unravel."
28231,Secret Agent,86,1936,6.5,,7666,,,"After three British Agents are assigned to assassinate a mysterious German spy during World War I, two of them become ambivalent when their duty to the mission conflicts with their consciences."
28333,Swing Time,103,1936,7.6,91,12106,,,"Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks."
28346,Tell Your Children,66,1936,3.8,70,7791,,,"Cautionary tale features a fictionalized take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music."
28597,The Awful Truth,90,1937,7.7,87,17286,,,"A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought."
28691,Captains Courageous,117,1937,8.0,,8581,,G,"A spoiled brat who falls overboard from a steamship gets picked up by a fishing boat, where he's made to earn his keep by joining the crew in their work."
28772,En dan smeha,111,1937,7.6,,12838,,,A veterinarian posing as a doctor and a race-horse owner and his friends struggle to help keep a sanitarium open with the help of a misfit race-horse.
28950,Velika iluzija,113,1937,8.1,,33388,172885,,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
29162,Lost Horizon,132,1937,7.7,,11850,,,"When a wise diplomat's plane crashes in the snows of Tibet, he and the other survivors are guided to Shangri-La, where they wrestle with the invitation to stay."
29284,Moja najljubsa zena,88,1940,7.4,,9098,,,"Missing for seven years and presumed dead, a woman returns home on the day of her husband's second marriage."
29583,Sneguljčica in sedem škratov,83,1937,7.6,95,178721,184925485,Approved,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
29606,Kariera,111,1937,7.3,77,8555,4360000,,"A young woman comes to Hollywood with dreams of stardom, and achieves them only with the help of an alcoholic leading man whose best days are behind him."
29811,Young and Innocent,80,1937,6.9,,8511,,,A man on the run from a murder charge enlists a beautiful stranger who must put herself at risk for his cause.
29843,Robin Hood,102,1938,7.9,97,46650,3981000,PG,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army."
29850,Aleksandr Nevskiy,112,1938,7.6,,10352,,,The story of how a great Russian prince led a ragtag army to battle an invading force of Teutonic Knights.
29870,Angels with Dirty Faces,97,1938,7.9,,19570,,,A priest tries to stop a gangster from corrupting a group of street kids.
29947,Bringing Up Baby,102,1938,7.9,91,54292,,,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
30241,Flirt,95,1938,7.8,,14130,,,A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.
